strategy,split_id,family,family_label,block_name,n_features,features,params_json,threshold,random_state,train_roc_auc,train_pr_auc,train_balanced_accuracy,train_f1,train_brier,train_sensitivity,train_specificity,train_tn,train_fp,train_fn,train_tp,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_f1,val_brier,val_sensitivity,val_specificity,val_tn,val_fp,val_fn,val_tp,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_f1,test_brier,test_sensitivity,test_specificity,test_tn,test_fp,test_fn,test_tp
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B1_engineered,10,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.3043898200137402,214,0.9971435561137891,0.9966218738927292,0.9698272597276856,0.9668856256393349,0.019868228275890736,0.9963237856296606,0.9433307338257106,61691,3706,211,57185,0.9926421990874279,0.9053933557188162,0.9707206285936927,0.7849922905602192,0.023726014227704265,0.9853763440860215,0.9560649131013638,26570,1221,34,2291,0.7888038873221397,0.611756744988841,0.7737354903660869,0.7329848924156874,0.21990147332307672,0.9043965354923743,0.6430744452397996,21561,11967,2031,19213
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 0.1}",0.2355713201469088,214,0.9649020106536557,0.9504909009745258,0.9177456604637666,0.9133035878411123,0.06556619011450393,0.9522092131855878,0.8832821077419454,57764,7633,2743,54653,0.9769614437721192,0.7592085305541904,0.9507571686199949,0.7126948775055679,0.03852483348998012,0.9634408602150538,0.9380734770249362,26070,1721,85,2240,0.848887009841812,0.7437959237651937,0.6333168934731654,0.6265530983824333,0.16111342720250274,0.9435605347392205,0.3230732522071105,10832,22696,1199,20045
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 1.0}",0.2511428172184121,214,0.9649477876085231,0.9521805833774211,0.920439313159644,0.9159131854994864,0.06470913137362166,0.9477489720538017,0.8931296542654862,58408,6989,2999,54397,0.9773048209697346,0.7734101862331457,0.9494958025786178,0.7270049099836334,0.03708635600893922,0.9552688172043011,0.9437227879529344,26227,1564,104,2221,0.8361015318160095,0.7379370145853743,0.579622400211947,0.5917353892956738,0.1693617384453868,0.9339107512709471,0.2253340491529468,7555,25973,1404,19840
by_image,holdout_O012791,logistic_regression,Logistic Regression,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""C"": 10.0}",0.24154051465220006,214,0.9647776854262182,0.952325834481215,0.9190571304581048,0.9145585286245291,0.06466085850815385,0.9495260993797477,0.8885881615364619,58111,7286,2897,54499,0.9771653157613105,0.7754744253995504,0.948897024371238,0.7159620639768526,0.037002441798558015,0.9578494623655914,0.9399445863768846,26122,1669,98,2227,0.8351113944292314,0.7383505706236069,0.5596627426201909,0.5806338695798026,0.1697188640073624,0.936970438712107,0.18235504652827486,6114,27414,1339,19905
by_image,holdout_O012791,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.45105977590226365,214,0.9945284484934883,0.9929244698369826,0.9668345322587559,0.9637393146165076,0.025306309301993544,0.9948951146421353,0.9387739498753765,61393,4004,293,57103,0.9952492394265491,0.9300077670026808,0.9766204112648831,0.7969691751334597,0.02521266494624296,0.995268817204301,0.9579720053254651,26623,1168,11,2314,0.8531620452823632,0.7905332165720629,0.7078924745088382,0.6774344650509186,0.19523761411192556,0.9190359630954622,0.4967489859222143,16655,16873,1720,19524
by_image,holdout_O012791,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 50}",0.42600235941733094,214,0.9941452496242752,0.992529702104645,0.9637388000475751,0.9604705169628432,0.026839140573682998,0.9944072757683462,0.933070324326804,61020,4377,321,57075,0.9956874256885981,0.9392094859089637,0.976600732889854,0.7939664038395612,0.025103354207704848,0.9961290322580645,0.9570724335216437,26598,1193,9,2316,0.8638949668374651,0.8053773928312927,0.8259649384742418,0.7857579268935004,0.15764733313096727,0.8778007908115233,0.7741290861369602,25955,7573,2596,18648
by_image,holdout_O012791,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.44465280146769276,214,0.9992973460551393,0.9992010300448269,0.9824472912192894,0.980547081205224,0.012685947323615063,0.9967767788696077,0.968117803568971,63312,2085,185,57211,0.9978566125105096,0.9721801986777174,0.9850446206960326,0.875616230565036,0.014287464875736993,0.9931182795698925,0.9769709618221727,27151,640,16,2309,0.8114735504810071,0.7111285260314197,0.6486693411849306,0.6311194881206289,0.21359990527059136,0.8984183769534928,0.3989203054163684,13375,20153,2158,19086
by_image,holdout_O012791,random_forest,Random Forest,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 50}",0.44534057391786797,214,0.9976284371022796,0.9972328519208493,0.9741819565052767,0.9717294285299815,0.01924957539645143,0.9920203498501637,0.9563435631603896,62542,2855,458,56938,0.9976819137316443,0.9693943725125456,0.9841630403282876,0.867555889535976,0.014819789533321963,0.9931182795698925,0.9752078010866827,27102,689,16,2309,0.8711118297255495,0.76571451711506,0.8312976440895282,0.7924102200770491,0.13958050992265914,0.8423554886085483,0.8202397995705082,27501,6027,3349,17895
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.5900306679997284,214,0.992594961929095,0.9903984116977115,0.9655979558402508,0.9627131921560613,0.029211478086616786,0.9849292633633006,0.9462666483172011,61883,3514,865,56531,0.9930963725782657,0.8985940728731925,0.976324678485299,0.8122794636556104,0.026399645847627818,0.9901075268817204,0.9625418300888777,26750,1041,23,2302,0.9052233188269005,0.8442481063611827,0.818274493864137,0.7774338268281741,0.1264250442677483,0.8157126718132178,0.8208363159150561,27521,6007,3915,17329
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 20}",0.45601124825269707,214,0.9962286660061827,0.9953245378990714,0.9731334864060355,0.9706223556708066,0.020630719634619894,0.991253745905638,0.955013226906433,62455,2942,502,56894,0.9969860281989644,0.9584704425200539,0.981233810125735,0.8483621641516378,0.016674225908104995,0.9913978494623656,0.9710697707891044,26987,804,20,2305,0.8462864903233616,0.7433369995667478,0.7798787214095029,0.7347661080550936,0.1757630008028046,0.8110996045942384,0.7486578382247674,25101,8427,4013,17231
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_depth"": null, ""min_samples_leaf"": 100}",0.4793832769193702,214,0.9976042140131457,0.9970700894798274,0.9779233911474814,0.9758507982533651,0.016930788502911406,0.9909401352010593,0.9649066470939034,63102,2295,520,56876,0.9974657998276691,0.9606472571382868,0.9867777028457034,0.9050520935718498,0.012103216585575002,0.9901075268817204,0.9834478788096865,27331,460,23,2302,0.8862090999090634,0.7649108412750368,0.8253102615053076,0.7854564662382252,0.14809771993474716,0.8399548107700998,0.8106657122405154,27180,6348,3400,17844
by_image,holdout_O012791,hist_gradient_boosting,HistGradientBoosting,B2_context,15,"SD,NDAI,AF,AN,BF,ndai_x_sd,af_df_gap,front_back_ratio,rad_cv,rad_range,local_SD_mean3,local_NDAI_std3,local_SD_std3,local_rad_std_std3,local_rad_mean_std3","{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_depth"": null, ""min_samples_leaf"": 100}",0.38866566722720286,214,0.9993327343786775,0.9992226544543096,0.9852188510572735,0.9835479993130689,0.010123110838995277,0.9978395707017911,0.972598131412756,63605,1792,124,57272,0.9975701269421562,0.964102470183587,0.9880843299234725,0.902696365767878,0.011047594155151419,0.9935483870967742,0.9826202727501709,27308,483,15,2310,0.8617921554652556,0.7224317985461465,0.7983668868442078,0.755134891507308,0.17744625865771702,0.8280926379212954,0.76864113576712,25771,7757,3652,17592
